State,Year,Total # Polled,Percent Ages 12-17,Percent Ages 18-25,Percent Ages 26+,Percent Ages 18+
Oregon,2016,"2,025",1.432098765,12.9382716,85.62962963,98.56790123
Oregon,2017,"2,048",1.513671875,12.79296875,85.69335938,98.48632813
Pennsylvania,2013,"6,079",2.056259253,14.80506662,83.13867412,97.96019082
Pennsylvania,2014,"6,180",1.9579288030000002,14.41747573,83.62459547,98.02588997
Pennsylvania,2015,"6,130",1.7292006530000001,14.24143556,84.045677,98.27079935
Pennsylvania,2016,"6,050",1.537190083,13.83471074,84.61157025,98.46280992
Pennsylvania,2017,"6,124",1.518615284,13.07968648,85.40169824,98.48138472
Rhode Island,2013,532,2.067669173,17.29323308,80.82706767,97.93233083
Rhode Island,2014,520,1.9230769230000002,16.53846154,81.73076923,98.07692308
Rhode Island,2015,536,1.865671642,15.67164179,82.46268657,98.13432836
Rhode Island,2016,552,1.630434783,15.57971014,82.78985507,98.36956522
Rhode Island,2017,546,1.465201465,15.75091575,82.78388278,98.53479853
South,2013,"46,833",2.321012961,15.53818888,82.1429334,97.68112229
South,2014,"47,855",2.131438721,15.29620729,82.57235399,97.86856128
South,2015,"48,617",1.892342185,14.95978773,83.14787009,98.10765782
South,2016,"47,824",1.731348277,14.71018735,83.55637337,98.26865172
South,2017,"48,026",1.801107733,14.09236663,84.10444343,98.19681006
South Carolina,2013,"1,947",2.1571648690000003,16.12737545,81.71545968,97.84283513
South Carolina,2014,"1,913",1.829587036,15.94354417,82.17459488,98.17041296
South Carolina,2015,"1,865",1.715817694,16.3538874,81.93029491,98.28418231
South Carolina,2016,"1,861",1.719505642,15.63675443,82.64373992,98.28049436
South Carolina,2017,"1,888",1.694915254,14.40677966,83.89830508,98.30508475
South Dakota,2013,386,1.8134715030000002,15.28497409,82.90155440000001,98.18652850000001
South Dakota,2014,380,1.5789473680000001,15.78947368,82.63157895,98.42105263
South Dakota,2015,403,1.736972705,15.63275434,82.63027295,98.26302729999999
South Dakota,2016,411,1.7031630169999998,14.59854015,83.69829684,98.29683698
South Dakota,2017,418,1.9138755980000002,14.35406699,83.97129187,98.32535885
Tennessee,2013,"2,079",2.405002405,16.01731602,81.62578163,97.59499759
Tennessee,2014,"2,335",2.012847966,15.88865096,82.05567452,97.94432548
Tennessee,2015,"2,382",1.721242653,15.0713686,83.16540722,98.23677582
Tennessee,2016,"2,369",1.68847615,14.647530599999998,83.66399325,98.31152385
Tennessee,2017,"2,440",1.8852459019999999,14.385245900000001,83.77049179999999,98.1557377
Texas,2013,"9,827",2.67629999,16.81082731,80.5128727,97.32370001
Texas,2014,"10,143",2.48447205,16.65187814,80.86364981,97.52538697
Texas,2015,"10,499",2.23830841,15.98247452,81.78874178,97.76169159
Texas,2016,"10,523",2.01463461,15.43286135,82.55250404,97.98536539
Texas,2017,"10,698",1.99102636,14.8999813,83.10899234,98.00897364
Total U.S.,2013,"136,188",2.237348371,15.26052222,82.50212941,97.76265163
Total U.S.,2014,"138,279",2.079129875,15.02541962,82.8954505,97.92087012
Total U.S.,2015,"139,003",1.893484313,14.81334935,83.29316633,98.10651569
Total U.S.,2016,"137,531",1.7021616940000002,14.58580247,83.71203583,98.29783831
Total U.S.,2017,"138,664",1.714215658,14.09305948,84.19272486,98.28578434
Utah,2013,700,3.142857143,18.14285714,78.85714286,97.0
Utah,2014,727,2.613480055,18.70701513,78.67950481,97.38651994
Utah,2015,728,2.197802198,18.13186813,79.80769231,97.93956044
Utah,2016,709,2.1156558530000003,20.45133992,77.43300423,97.74330042
Utah,2017,711,2.390998594,19.9718706,77.6371308,97.46835443
Vermont,2013,319,2.194357367,15.98746082,81.81818182,97.80564263
Vermont,2014,332,1.807228916,15.96385542,82.22891566,98.19277108
Vermont,2015,330,1.8181818180000002,15.75757576,82.12121212,98.18181818
Vermont,2016,327,1.834862385,15.90214067,82.56880734,98.16513761
