State,year,Total # Polled,Ages 12-17,Ages 18-25,Ages 26+,Ages 18+,,,Ages 12-17,Ages 18-25,Ages 26+,Ages 18+
New Jersey,2014,"4,272",100,541,"3,630","4,171",,,2.34082397,12.66385768,84.97191011,97.63576779
New Jersey,2015,"4,271",97,570,"3,605","4,175",,,2.271130883,13.34582065,84.40646219,97.75228284
New Jersey,2016,"4,044",73,547,"3,424","3,971",,,1.805143422,13.52621167,84.66864491,98.19485658
New Jersey,2017,"4,029",75,534,"3,420","3,953",,,1.861504095,13.25390916,84.88458675,98.11367585
New Mexico,2013,858,20,129,709,838,,,2.331002331,15.03496503,82.63403263,97.66899767
New Mexico,2014,830,16,128,686,814,,,1.927710843,15.42168675,82.65060241,98.07228916
New Mexico,2015,807,16,127,665,791,,,1.982651797,15.73729864,82.4039653,98.0173482
New Mexico,2016,833,16,122,695,817,,,1.920768307,14.64585834,83.43337335,98.07923169
New Mexico,2017,845,17,118,710,828,,,2.01183432,13.96449704,84.02366864,97.98816568
New York,2013,"9,340",209,"1,427","7,704","9,131",,,2.237687366,15.27837259,82.48394004,97.76231263
New York,2014,"9,353",185,"1,369","7,799","9,168",,,1.977974981,14.63701486,83.38501016,98.02202502
New York,2015,"9,144",179,"1,371","7,594","8,965",,,1.957567804,14.99343832,83.04899388,98.0424322
New York,2016,"9,163",161,"1,376","7,626","9,002",,,1.757066463,15.01691586,83.22601768,98.24293354
New York,2017,"9,197",138,"1,338","7,720","9,058",,,1.50048929,14.54822225,83.94041535,98.4886376
North Carolina,2013,"3,931",89,597,"3,245","3,842",,,2.264054948,15.18697532,82.54896973,97.73594505
North Carolina,2014,"3,840",78,582,"3,179","3,761",,,2.03125,15.15625,82.78645833,97.94270833
North Carolina,2015,"3,790",64,593,"3,134","3,726",,,1.688654354,15.64643799,82.69129288,98.31134565
North Carolina,2016,"3,712",57,564,"3,091","3,655",,,1.535560345,15.19396552,83.27047414,98.46443966
North Carolina,2017,"3,772",70,519,"3,183","3,702",,,1.855779427,13.7592789,84.38494168,98.14422057
North Dakota,2013,346,6,68,272,340,,,1.734104046,19.65317919,78.61271676,98.26589595
North Dakota,2014,353,6,70,277,347,,,1.699716714,19.83002833,78.47025496,98.30028329
North Dakota,2015,360,6,73,281,354,,,1.666666667,20.27777778,78.05555556,98.33333333
North Dakota,2016,370,6,70,294,364,,,1.621621622,18.91891892,79.45945946,98.37837838
North Dakota,2017,368,6,66,296,362,,,1.630434783,17.93478261,80.43478261,98.36956522
Northeast,2013,"27,304",586,"3,973","22,744","26,718",,,2.146205684,14.55098154,83.29915031,97.85379432
Northeast,2014,"27,463",550,"3,923","22,991","26,913",,,2.002694534,14.28467392,83.7162728,97.99730547
Northeast,2015,"27,037",520,"3,936","22,581","26,517",,,1.923290306,14.55782816,83.51888153,98.07670969
Northeast,2016,"26,782",450,"3,890","22,442","26,332",,,1.680232992,14.52468076,83.79508625,98.31976701
Northeast,2017,"27,062",434,"3,810","22,817","26,628",,,1.60372478,14.07878206,84.31379795,98.39627522
Ohio,2013,"5,199",111,777,"4,312","5,089",,,2.135025967,14.94518177,82.93902674,97.8842085
Ohio,2014,"5,215",102,766,"4,348","5,114",,,1.955896453,14.68839885,83.37488015,98.063279
Ohio,2015,"5,109",95,752,"4,262","5,014",,,1.859463692,14.71912312,83.42141319,98.14053631
Ohio,2016,"5,052",81,731,"4,240","4,971",,,1.603325416,14.46951702,83.92715756,98.39667458
Ohio,2017,"4,984",82,713,"4,189","4,901",,,1.645264848,14.30577849,84.04895666,98.33467095
Oklahoma,2013,"1,482",31,242,"1,210","1,451",,,2.091767881,16.32928475,81.64642375,97.90823212
Oklahoma,2014,"1,537",34,254,"1,250","1,503",,,2.212101496,16.52569941,81.3272609,97.7878985
Oklahoma,2015,"1,460",32,249,"1,179","1,428",,,2.191780822,17.05479452,80.75342466,97.80821918
Oklahoma,2016,"1,352",27,223,"1,102","1,324",,,1.99704142,16.49408284,81.50887574,97.92899408
Oklahoma,2017,"1,435",28,223,"1,184","1,407",,,1.951219512,15.54006969,82.5087108,98.04878049
Oregon,2013,"1,917",37,255,"1,624","1,880",,,1.930099113,13.30203443,84.71570162,98.06990089
Oregon,2014,"1,913",38,260,"1,615","1,875",,,1.986408782,13.59121798,84.42237324,98.01359122
Oregon,2015,"1,997",34,261,"1,701","1,962",,,1.702553831,13.06960441,85.17776665,98.24737106
Oregon,2016,"2,025",29,262,"1,734","1,996",,,1.432098765,12.9382716,85.62962963,98.56790123
Oregon,2017,"2,048",31,262,"1,755","2,017",,,1.513671875,12.79296875,85.69335938,98.48632813
Pennsylvania,2013,"6,079",125,900,"5,054","5,955",,,2.056259253,14.80506662,83.13867412,97.96019082
Pennsylvania,2014,"6,180",121,891,"5,168","6,058",,,1.957928803,14.41747573,83.62459547,98.02588997
Pennsylvania,2015,"6,130",106,873,"5,152","6,024",,,1.729200653,14.24143556,84.045677,98.27079935
Pennsylvania,2016,"6,050",93,837,"5,119","5,957",,,1.537190083,13.83471074,84.61157025,98.46280992
Pennsylvania,2017,"6,124",93,801,"5,230","6,031",,,1.518615284,13.07968648,85.40169824,98.48138472
Rhode Island,2013,532,11,92,430,521,,,2.067669173,17.29323308,80.82706767,97.93233083
Rhode Island,2014,520,10,86,425,510,,,1.923076923,16.53846154,81.73076923,98.07692308
Rhode Island,2015,536,10,84,442,526,,,1.865671642,15.67164179,82.46268657,98.13432836
Rhode Island,2016,552,9,86,457,543,,,1.630434783,15.57971014,82.78985507,98.36956522
Rhode Island,2017,546,8,86,452,538,,,1.465201465,15.75091575,82.78388278,98.53479853
South,2013,"46,833","1,087","7,277","38,470","45,747",,,2.321012961,15.53818888,82.1429334,97.68112229
South,2014,"47,855","1,020","7,320","39,515","46,835",,,2.131438721,15.29620729,82.57235399,97.86856128
South,2015,"48,617",920,"7,273","40,424","47,697",,,1.892342185,14.95978773,83.14787009,98.10765782
South,2016,"47,824",828,"7,035","39,960","46,996",,,1.731348277,14.71018735,83.55637337,98.26865172
South,2017,"48,026",865,"6,768","40,392","47,160",,,1.801107733,14.09236663,84.10444343,98.19681006
South Carolina,2013,"1,947",42,314,"1,591","1,905",,,2.157164869,16.12737545,81.71545968,97.84283513
South Carolina,2014,"1,913",35,305,"1,572","1,878",,,1.829587036,15.94354417,82.17459488,98.17041296
South Carolina,2015,"1,865",32,305,"1,528","1,833",,,1.715817694,16.3538874,81.93029491,98.28418231
South Carolina,2016,"1,861",32,291,"1,538","1,829",,,1.719505642,15.63675443,82.64373992,98.28049436
South Carolina,2017,"1,888",32,272,"1,584","1,856",,,1.694915254,14.40677966,83.89830508,98.30508475
South Dakota,2013,386,7,59,320,379,,,1.813471503,15.28497409,82.9015544,98.1865285
South Dakota,2014,380,6,60,314,374,,,1.578947368,15.78947368,82.63157895,98.42105263
South Dakota,2015,403,7,63,333,396,,,1.736972705,15.63275434,82.63027295,98.2630273
South Dakota,2016,411,7,60,344,404,,,1.703163017,14.59854015,83.69829684,98.29683698
South Dakota,2017,418,8,60,351,411,,,1.913875598,14.35406699,83.97129187,98.32535885
Tennessee,2013,"2,079",50,333,"1,697","2,029",,,2.405002405,16.01731602,81.62578163,97.59499759
Tennessee,2014,"2,335",47,371,"1,916","2,287",,,2.012847966,15.88865096,82.05567452,97.94432548
Tennessee,2015,"2,382",41,359,"1,981","2,340",,,1.721242653,15.0713686,83.16540722,98.23677582
Tennessee,2016,"2,369",40,347,"1,982","2,329",,,1.68847615,14.6475306,83.66399325,98.31152385
